	Endothelial cells	Fibroblasts	Smooth muscle cells	Tumor-Like	tB cells	tMast cells	tMoMacDC	tNK cells	tNeutrophils	tPlasma cells	tRBC	tT cells	tpDC
RPL23	0.0014563758	0.001798088	0.0014839147	0.0015610179	0.0036981709	0.0030119682	0.0012508407	0.0024773434	0.00028966827	0.0019282018	7.681066e-05	0.0026815222	0.0028940684
RPL34	0.0012455006	0.0017506874	0.0015793237	0.000809196	0.004093086	0.0028958672	0.0010099534	0.0024014527	0.00024468877	0.0023110022	1.8338882e-05	0.0032793586	0.0023802428
COL3A1	1.2766207e-05	0.0006262951	0.00021516076	1.3821113e-06	1.2763279e-06	8.1215596e-08	9.3568576e-07	2.7919289e-06	8.145932e-08	8.230643e-08	8.2361865e-08	8.1371276e-08	1.825187e-06
VIM	0.0016196973	0.0015593722	0.0017566157	0.00010204493	0.0003011074	0.0029860607	0.0019549883	0.0008768762	0.0003823721	0.0012779864	3.0792104e-05	0.00094154384	0.0007309601
RPS24	0.0014047333	0.0019370659	0.0017782693	0.002279591	0.002587686	0.0017923688	0.0017891959	0.0029595664	0.00023103438	0.0019216846	0.000102662685	0.00282678	0.0028836532
RPL27A	0.002199923	0.0033233112	0.0029484802	0.0031854496	0.006978708	0.002440873	0.0025198983	0.0043789577	0.00028887883	0.0046900734	0.00014872682	0.005316101	0.0042887307
RPS2	0.0015172058	0.00178406	0.0018175339	0.0018335362	0.006477987	0.0025597278	0.0021745963	0.003786382	0.00020830196	0.0033339038	9.634598e-05	0.004532786	0.0034652492
RPS3A	0.0013879933	0.001794427	0.0017823023	0.0009873837	0.0042682914	0.0026320938	0.0013776344	0.002837662	0.00034167306	0.002394363	8.619796e-05	0.0036640076	0.0034450376
FAU	0.0013144584	0.0015487199	0.0017839504	0.0018996018	0.003343798	0.0018363239	0.0013828328	0.0025009904	0.00078854896	0.0028893417	6.185096e-05	0.002645938	0.0026492288
PABPC1	0.00092485273	0.0011903166	0.0010400444	0.0025584179	0.0027926138	0.0023420325	0.0019647279	0.0030817527	0.0010339451	0.0015010058	4.2952706e-05	0.0031628641	0.0032750263
RPS15A	0.0011499922	0.0017803852	0.0013191238	0.001197897	0.0041074893	0.0015692463	0.0010127428	0.003328444	0.00017239335	0.002963049	0.00014208237	0.0040754327	0.0026352808
COL1A2	2.4889328e-05	0.0007712184	0.00029511965	3.5769017e-06	1.4132108e-06	2.3898408e-06	8.1561936e-08	1.5423786e-06	4.807748e-06	1.2519866e-06	8.252682e-08	4.8988004e-06	2.0263335e-06
RPL3	0.00248109	0.0027315412	0.002848438	0.0027417436	0.00527198	0.0022994606	0.0014651765	0.0031601957	9.287441e-05	0.0044208593	5.4358345e-05	0.0037956778	0.0034692995
CXCL8	2.7244147e-05	1.0520745e-05	1.4494678e-05	3.33498e-05	9.0156345e-06	1.2681691e-05	8.903605e-05	7.1452164e-06	0.0017486584	8.063821e-06	1.0389086e-05	2.9736202e-06	2.002623e-05
RPL37	0.0017710322	0.0021812038	0.0020919878	0.0026680434	0.00531558	0.0025892898	0.0016928954	0.0036696154	0.00032820328	0.0027267106	0.00010775605	0.0043171938	0.0041060844
RPL31	0.0021213714	0.0029248612	0.0024608162	0.0028762948	0.006587291	0.0028505682	0.0018790126	0.004219183	0.00016396845	0.002625369	9.122017e-05	0.0049687047	0.0043820003
RPS17	0.0018034326	0.0022713132	0.0020181553	0.0024023794	0.00372739	0.0018330051	0.0013163333	0.002723294	0.00011543219	0.0031447683	2.4414356e-05	0.0035607691	0.0031623596
HSP90AA1	0.0006077588	0.00058332516	0.00052787876	0.0005239871	0.0006656857	0.0010335436	0.00051612034	0.0007953018	0.000430487	0.0011542029	4.736102e-05	0.00093584234	0.00058849057
RPL19	0.002520903	0.002459382	0.0031842124	0.00335391	0.0066450755	0.002839273	0.0022354182	0.0036995262	0.0002697826	0.003207836	8.151776e-08	0.0049570217	0.0040370477
TTC19	0.0011527669	0.0017621799	0.0017121002	0.0013867716	0.00493863	0.0015548004	0.0014076225	0.002686298	0.00020891505	0.0038056646	2.2766253e-05	0.0036876039	0.0024572068
ACTG1	0.0013218602	0.0014232873	0.0013508231	0.0021305257	0.0009867984	0.00063922966	0.0013300852	0.001311516	0.0016966783	0.0006682491	3.397533e-05	0.00096377346	0.000777044
RPL7A	0.0023371507	0.003081929	0.0029922258	0.0035023754	0.0049718064	0.0023936492	0.0017245043	0.0028055315	0.00015884588	0.0049201343	3.031897e-05	0.0035159804	0.0034675295
ZFP36	0.0010764413	0.0004327682	0.0008622498	0.00029202335	0.00049986684	0.00079699355	0.0003501154	0.00084600964	0.00060009025	0.0006429862	4.6491212e-05	0.00081224635	0.001109851
RPL28	0.0022419386	0.0025545533	0.0023871749	0.0027503963	0.007144531	0.0020096786	0.0028416032	0.004555846	0.00048079476	0.0038095023	0.0001665669	0.0064038835	0.0037141063
RPL15	0.0029249112	0.0031625766	0.003421367	0.002469484	0.005938485	0.0028676956	0.002383604	0.0036013587	0.00018648693	0.0042864867	8.122939e-08	0.0037797058	0.003646818
HLA-DRB1	0.0006706421	3.8831306e-05	3.8430815e-05	7.806359e-05	0.0010373609	6.852531e-05	0.002503332	0.00010926464	7.1520866e-05	8.347548e-05	5.8573813e-05	0.00015224524	0.0012549562
RPS20	0.0022617257	0.00312157	0.0027726905	0.0024319035	0.0075837113	0.0041558635	0.0022154776	0.004222021	0.00016875609	0.0037485822	0.000294374	0.0058231023	0.005266763
NEAT1	0.00057328795	0.00054114556	0.00048155998	0.000634701	0.000160885	0.0007316287	0.0008099611	0.0003520199	0.002689187	0.0010169193	0.00012757134	0.00033509117	0.0005693838
RPS14	0.0015327866	0.001685363	0.0019331785	0.001521172	0.006020797	0.0023020315	0.0014702348	0.0031900634	0.00022558088	0.002943034	0.00016024988	0.0043889335	0.0033996836
JUNB	0.001103179	0.0007304499	0.0010755253	0.00026342593	0.0008214806	0.0008351855	0.0006259527	0.000538684	0.0013128127	0.00039507856	3.794334e-05	0.0011636599	0.00071330514
EIF1	0.0030847003	0.0021638675	0.0025629515	0.0037724453	0.0039475444	0.002910347	0.0023277225	0.0033047537	0.0037423787	0.0048269816	0.00016780531	0.0035459665	0.002900508
RPL7	0.0024780289	0.0028723555	0.0030117142	0.004024721	0.004509028	0.0030482323	0.0017758041	0.002987898	0.00029009202	0.003419454	0.00019795395	0.0030911944	0.0034204777
RPS6	0.0016002445	0.0019456492	0.0017002414	0.0012175369	0.004515163	0.0022176956	0.0012188383	0.002400115	0.00017749684	0.0022758103	9.678663e-05	0.0032501412	0.002906057
FOS	0.00040497008	0.00041590197	0.00051602564	0.0002536872	0.00010885166	0.00010610071	0.0001399012	0.00014494985	0.000755349	0.00014639259	7.882201e-06	0.000116398514	9.729133e-05
UBB	0.0019189073	0.0017103433	0.0018744896	0.0014353435	0.0011721085	0.0024086507	0.0011005618	0.0017540894	0.00041134594	0.0017531201	0.002131596	0.0015649023	0.0015928613
RPS18	0.0017430547	0.00215799	0.0023361614	0.0020100796	0.005766906	0.0025402782	0.0014145115	0.0037081433	0.00016539767	0.0029634454	0.00011717722	0.0043493905	0.0030664816
RPS4X	0.0015873058	0.0017225712	0.0020043447	0.001916618	0.0041700196	0.0025324097	0.0012220994	0.0025489198	0.00010151876	0.003253874	5.2451793e-05	0.0031487923	0.0027304008
RPL18A	0.0015212183	0.0019919784	0.0020640192	0.0018154605	0.0044585667	0.0015357614	0.001437951	0.0030178851	0.0001725991	0.0035870909	0.00013337893	0.0036639974	0.0028196673
HBA2	8.1295106e-08	1.9806794e-06	8.167822e-08	8.214708e-08	2.2534543e-06	2.5519498e-06	8.2373026e-07	4.9026007e-06	3.8382345e-06	1.976509e-06	0.023416396	8.223252e-08	8.176099e-08
RPL36A	0.0011869802	0.0016730671	0.0016044435	0.0019794768	0.003099345	0.0015970402	0.0011212775	0.0017686611	0.0001668069	0.0019179962	9.206096e-05	0.0025305701	0.0022698531
RPL23A	0.0014079914	0.0018198534	0.0021298856	0.001527546	0.006391708	0.0021193614	0.0012333324	0.0039799702	9.850093e-05	0.0033327264	0.00011538871	0.004779923	0.003083423
PTMA	0.0029945476	0.001718404	0.0031108758	0.0021229878	0.0035280278	0.0035831796	0.0016787131	0.003182994	0.00019971498	0.0015908612	2.9197081e-05	0.003217018	0.0024388428
RPL26	0.0020541698	0.0020622876	0.0025115288	0.0017651542	0.0054363143	0.0030010804	0.0016966348	0.0032592753	0.00011585334	0.0030564417	0.00011918617	0.0038882638	0.002750717
MCL1	0.0008494077	0.0005057254	0.00071040745	0.000615659	0.0006773881	0.0015338103	0.00084676634	0.0017198978	0.0020063831	0.0012487592	9.8985984e-05	0.0011531148	0.0016968522
NFKBIA	0.00035331555	0.00023780475	0.00023154098	0.000288088	0.0001447711	0.0013293546	0.00047157737	0.00031902446	0.0012566588	0.00037815337	2.1100064e-05	0.00016591803	0.00021919445
RPS19	0.0012531409	0.0013674955	0.0014777357	0.0017255677	0.0032930018	0.0013084752	0.0015473347	0.0032128124	0.00014902723	0.0028849645	2.4984429e-05	0.0038804684	0.0027196384
TMSB10	0.0030176581	0.0019888713	0.0009885816	0.0014917026	0.0008062269	0.00074312644	0.0025512804	0.0014576949	0.00029700936	0.00072130596	2.212397e-05	0.001630751	0.0014224988
HLA-A	0.0029762539	0.0007204022	0.0010868323	0.0007457572	0.0021347029	0.0011321512	0.0021551354	0.003134765	0.0026811312	0.0009711343	9.4646784e-05	0.0030626354	0.0012881507
RPL30	0.0017136908	0.0019992432	0.0023632974	0.0026161037	0.0065643103	0.0032530546	0.0015586412	0.003554595	0.00017628673	0.0025178078	3.1832522e-05	0.0049698916	0.0029954033
RPLP2	0.0016532763	0.0018474642	0.0021726077	0.0017782261	0.0081327	0.002459464	0.0018425921	0.0044707423	0.0002656824	0.0034223506	0.00030259055	0.00585566	0.0028692596
HSPA1B	0.00030376742	0.00029620025	0.00024813262	0.00013636381	6.6419874e-05	0.00023100749	0.000108120126	6.943283e-05	5.737545e-05	0.00035769885	7.298619e-06	0.00010914154	7.426416e-05
RPS25	0.0017926429	0.001577028	0.0019982643	0.0018834327	0.0053419126	0.0022720697	0.0014825853	0.0027407843	0.00016790774	0.0029721006	0.00012308698	0.004471725	0.0027542128
RPL11	0.0019966953	0.0019579958	0.0017607582	0.0014992517	0.005492434	0.0028148675	0.0015984272	0.0027954793	0.00010453478	0.0027567307	9.237086e-05	0.0043522594	0.0033839266
H3F3B	0.0016028704	0.0011661652	0.0017193416	0.0014440874	0.0016750491	0.0029640861	0.0012216277	0.0017212874	0.006102914	0.0014184169	7.80901e-05	0.0019469963	0.0017954018
RPS16	0.0016911993	0.0018147972	0.002447542	0.0018043823	0.005204375	0.0015880705	0.0015348907	0.002665119	0.0005894201	0.0032887203	3.0009302e-05	0.0037650266	0.0030409729
JUN	0.0005270118	0.00041288862	0.0005658189	0.0003104731	0.00013237764	0.00031151067	0.0001468061	0.0001019781	0.00016726037	0.00053781184	8.1330775e-08	0.00020031999	2.525607e-05
RPS3	0.0012848353	0.001477692	0.0013851409	0.001411561	0.004978049	0.0018766617	0.0011351308	0.0033013632	0.00019098156	0.0021764701	7.9399026e-05	0.004211084	0.0022598768
RPL5	0.0015688762	0.0018938766	0.0023446665	0.0019561993	0.0031908075	0.001793018	0.0010884872	0.0020055443	5.5799097e-05	0.0026984394	7.877568e-05	0.002194064	0.0022586416
RPL38	0.0016023151	0.0022140278	0.0022334068	0.0024237297	0.0055794213	0.0026977444	0.0016876337	0.0032055767	0.00031544454	0.00210007	0.000227203	0.004510274	0.0025985062
CPA3	1.4105126e-06	8.128549e-08	8.139176e-08	1.4678933e-06	8.2149754e-08	0.0023297213	7.473011e-07	2.2266656e-06	3.4679235e-06	3.6245845e-06	8.197857e-06	2.349541e-06	1.4578638e-06
FOSB	0.00052701356	0.0005405423	0.00074338826	0.0002702337	0.0004507233	0.002614456	0.00039948855	0.0003858932	0.00062027294	0.0006942884	2.864982e-05	0.00034998887	0.00041120517
CTSD	9.8963894e-05	9.168002e-05	0.00012935595	0.00019515063	4.9604623e-05	0.0003017259	0.0009797236	0.00022261997	0.0004200336	0.00013450213	9.074214e-06	9.73317e-05	0.00012699405
HSPA8	0.0009620859	0.0010243928	0.001019933	0.00088488474	0.0010291523	0.0011596608	0.00077763415	0.0014840262	0.00027021102	0.0008948053	3.5341232e-05	0.0018275005	0.00078280986
RPL18	0.0019274506	0.0020265991	0.002612946	0.002636349	0.0056654084	0.0017969403	0.0016591557	0.0028636511	0.00010713145	0.004685638	8.1617955e-08	0.0039901864	0.0034960029
GAPDH	0.00059972453	0.00059289864	0.0008755514	0.0012135779	0.00050701946	0.00045941537	0.0008036303	0.00075632235	0.0010086398	0.00050453603	2.9386054e-05	0.0006773141	0.00031202377
EGR1	0.00030144726	0.00040334565	0.0005042658	0.0002474533	4.5183755e-05	0.00040598938	9.357023e-05	4.0772244e-05	0.00050803786	6.812154e-05	1.6621574e-05	1.44398355e-05	2.1152831e-05
SPARC	0.00055815437	0.000898927	0.00067846413	5.0846425e-06	8.1882874e-08	6.8586037e-06	1.9919984e-05	8.2252285e-08	8.240681e-08	3.5667438e-06	8.190755e-08	4.663186e-06	8.180841e-08
RPL35A	0.0014700388	0.0019212554	0.0020916748	0.0016862624	0.0047996566	0.0025214148	0.0012986915	0.0028229626	0.00023203164	0.0024107727	0.00012146121	0.0036324358	0.002146323
ANXA2	0.00042057186	0.00042230877	0.0002562732	0.0009074084	5.398468e-05	4.6828864e-05	0.00063252915	0.00012899342	5.419271e-05	0.00014555723	1.0503902e-05	0.0001072934	0.00012790522
RPL21	0.0017514139	0.002101519	0.003129348	0.001567653	0.0063415607	0.00254143	0.0015920327	0.0035444815	0.00033888387	0.0038033922	0.00022349523	0.004884311	0.0033768495
RPL4	0.001614679	0.0019471326	0.0021463956	0.0020945214	0.003843417	0.0020076376	0.0014760777	0.0023424842	6.769007e-05	0.0028828376	3.1597545e-05	0.0032708943	0.0030274224
HSP90AB1	0.0012266036	0.0008773059	0.0010124682	0.0013299109	0.0011831619	0.001374136	0.0007680641	0.0009300844	0.0002821384	0.00081575575	3.7463687e-05	0.0011740914	0.0008730852
HLA-E	0.0069063557	0.0007946903	0.0010561402	0.0005778618	0.002810685	0.0016089915	0.0017650061	0.0031850266	0.0038107354	0.0016390749	0.0002559162	0.0028354616	0.0013960252
RPS9	0.002420166	0.0027950483	0.0032435812	0.0025242742	0.004514323	0.0014603047	0.0024081254	0.0027363296	0.001040199	0.0038221367	0.00011706519	0.0033385495	0.0034587218
CTSB	0.0001224758	0.00022502788	0.00015062973	0.00015177166	7.1292205e-05	0.00017465664	0.0014235363	3.5281028e-05	8.704083e-05	7.996117e-05	1.0645775e-05	8.955064e-05	0.0006164836
RGS2	4.258416e-05	0.00011742678	0.00013765335	7.485717e-05	0.00053783774	0.0009366344	0.00031795914	0.00031445263	0.0015534773	0.0001552996	5.9384744e-05	0.00032766702	0.0015262953
CXCR4	7.854876e-05	4.357866e-05	6.8894806e-05	4.9626768e-05	0.0028932707	0.00010266054	0.00028546396	0.0023914045	0.0012710328	0.00053934386	6.7564106e-05	0.0030958396	0.0028542457
GNAS	0.0016609646	0.0016447526	0.0016112239	0.0013633256	0.001157403	0.0013528038	0.0011714757	0.0009934928	0.00040538266	0.0021772124	0.00035822426	0.0011466742	0.001713458
H3F3A	0.0024463872	0.0016298081	0.0015889023	0.0026068215	0.0018148042	0.0017785024	0.0021886749	0.002204964	0.0066892453	0.0014324684	0.00010091953	0.001867684	0.0020034825
RPL10A	0.0010766253	0.0016935287	0.001818323	0.0014849041	0.0034990045	0.0014083894	0.00087731885	0.0020707753	6.8250294e-05	0.0019174361	2.6360629e-05	0.0023426863	0.0019178116
RPL24	0.0021641776	0.0024700214	0.0027999969	0.0031316103	0.0038552808	0.002685765	0.0013094464	0.0030959663	0.0003264383	0.0036212066	8.0992834e-08	0.0034094388	0.0031829164
RPL9	0.0025029127	0.003157272	0.0032715949	0.0023642208	0.0057425946	0.0037423838	0.0024685396	0.0036505936	0.00038820956	0.0038179806	9.686437e-05	0.0049889623	0.0048915623
PSAP	0.00038279232	0.00041788013	0.00041544778	0.00035656607	0.0001809404	0.00045346198	0.003073398	0.00020951018	0.00065070105	0.0007438682	1.6855362e-05	0.00018947796	0.0005822168
LYZ	2.3261102e-05	1.567346e-05	1.3347682e-05	3.54259e-05	1.3254448e-05	2.251931e-05	0.00054686563	2.702811e-05	0.00010205398	2.5352569e-05	8.1143284e-08	1.9063174e-05	4.2597083e-05
HLA-C	0.0027952865	0.00083128386	0.00085676886	0.00074284134	0.0016666808	0.0010290493	0.001784593	0.002276656	0.002966985	0.003070505	5.521281e-05	0.0023189243	0.0012152012
S100A6	0.00024926194	0.00043757167	0.0002446834	0.00075213413	9.280784e-05	0.0003509692	0.00026689054	0.00017275143	0.00043069417	0.00012734368	6.510525e-05	0.00018529766	0.00025380094
RGS1	1.1664692e-05	1.3020579e-05	1.7620181e-05	6.9095627e-06	0.00036268902	0.00050766626	0.00019186852	0.00039490117	1.2121598e-05	0.00044069346	1.8947901e-05	0.0007420121	0.0008404483
RPL35	0.0015862723	0.0019585267	0.0020505514	0.0027352537	0.0039478387	0.0016950535	0.001652847	0.0027524703	9.616634e-05	0.0035307393	3.7746857e-05	0.0032598756	0.0028930474
RPL27	0.002181138	0.0027493094	0.0027869425	0.0034029963	0.005655095	0.0017652088	0.0019121511	0.0033955707	0.00028556987	0.0031058118	4.687126e-05	0.0045875506	0.004406638
RPS7	0.0019319043	0.0015284219	0.0021868178	0.0031303952	0.0034195418	0.0020553148	0.0013422449	0.0030907143	0.00019409093	0.0025343283	3.8096965e-05	0.003304983	0.0028745763
RPL17	0.0015893105	0.0025440748	0.00267325	0.002107295	0.005513861	0.002815822	0.001837044	0.004134557	0.0001764593	0.004288049	9.375932e-05	0.0048765126	0.0035283163
RPS21	0.0008148191	0.0011502317	0.0013141654	0.0012691809	0.0037187373	0.0017295299	0.0009090425	0.0026424513	0.0001369812	0.0019076093	0.00017664551	0.0032531521	0.0020975827
FN1	9.391843e-05	0.00062608666	0.00044231795	9.934233e-06	5.4535253e-06	9.245599e-06	4.9400824e-05	1.9957267e-06	8.146569e-08	1.6102292e-06	8.1399065e-08	6.2509275e-06	6.468102e-06
CD63	0.00077656965	0.001544474	0.0012950861	0.0009923893	9.0092064e-05	0.0010760903	0.0014188101	0.00042674728	0.00073641224	0.0008185421	2.0555639e-05	8.880634e-05	0.00013592577
RPS5	0.0011490649	0.001282372	0.0015674186	0.0018001775	0.0029897052	0.00077887956	0.000842922	0.0014045298	3.68839e-05	0.0028550955	2.8707555e-05	0.0017836733	0.0018180094
RPL29	0.0010898457	0.0012739734	0.0013926036	0.0011742106	0.0027467448	0.00082858093	0.001058672	0.002010095	0.000117948315	0.001995038	8.231533e-05	0.0021575768	0.0017445992
UBC	0.002040956	0.0009929419	0.0011905889	0.0015486447	0.0012584686	0.00079215487	0.0009625743	0.00086589094	0.0009268614	0.003503029	8.124178e-08	0.0014526368	0.0012990969
BTG1	0.0007967357	0.0003146407	0.0007511535	0.0004672842	0.0034947898	0.0010843576	0.0010919742	0.0033957018	0.0019502769	0.00053168996	0.00012434211	0.004179278	0.00029644775
DNAJB1	0.0003607022	0.00034033245	0.00027600437	0.00018984167	0.00013245655	0.00039024756	0.00020553432	0.0002697034	0.00023746846	0.00044666958	8.050645e-08	0.00046331013	0.00013021872
DDX5	0.0023642962	0.0011537151	0.001839915	0.0014536553	0.0017080633	0.003611375	0.0012340115	0.0017597392	0.0015159522	0.0011033714	3.305344e-05	0.0014854645	0.0017631137
RPL36	0.0014388028	0.0015897739	0.0016099185	0.0022999502	0.0038892373	0.0013876627	0.0013147773	0.0020078174	0.00013637565	0.0027782838	0.00014323434	0.0031498643	0.0015945691
RPL14	0.0021428508	0.002524016	0.0029317727	0.0020207188	0.0065340027	0.003225675	0.0017556353	0.0036222667	0.00022734993	0.003474512	0.00010121571	0.00474282	0.0029634752
SERF2	0.0021932386	0.0023858997	0.0025655723	0.0022703148	0.0016302359	0.00076700834	0.0032422116	0.0018910927	0.0010466024	0.003384347	0.0009239368	0.0017762609	0.002316892
TIMP1	0.00016265515	0.00032132116	0.00039071613	5.6172557e-05	7.4335976e-06	9.491506e-05	0.00011033526	1.2159714e-05	0.00019113843	2.5117379e-05	7.4725413e-06	1.9379224e-05	2.6890593e-06
RPL32	0.0019793902	0.0021941361	0.0025364219	0.0014315773	0.00672796	0.0032190527	0.0016514797	0.0038365913	0.00032691273	0.0030846812	9.882092e-05	0.0049184966	0.0030251874
RPL8	0.0021093036	0.00202288	0.0030231373	0.0033709153	0.004955872	0.0016651442	0.0015840548	0.0026106553	0.0002908024	0.0037211876	0.00021992114	0.0027743361	0.0012959861
JUND	0.0011171	0.0011104868	0.001330794	0.000692467	0.002725523	0.0017698292	0.00074197614	0.003129376	0.00058613706	0.0024488294	0.00011921412	0.0026360392	0.0016466093
SOD2	0.0001839419	0.0002502216	0.00016408374	0.00013552596	8.223083e-05	7.426579e-05	0.0005120705	7.8590274e-05	0.002783248	9.543357e-05	2.219426e-05	0.00010706558	9.645143e-05
IFITM2	0.0013210833	0.0006208604	0.00083620363	0.00014422157	0.00036805274	0.00082136353	0.00017470444	0.00084333593	0.006978556	0.00013393092	5.5743356e-05	0.00033451078	0.00022694163
EEF2	0.0013986645	0.0019018111	0.0021679383	0.00212589	0.0025045543	0.001104433	0.001184919	0.0018113698	0.00030668423	0.0026906985	0.00021166143	0.0018379343	0.002260875
YBX1	0.0006017491	0.0005813317	0.0006899553	0.0010469396	0.0007288521	0.00084571645	0.0010924791	0.0006209403	0.00016432392	0.00045459662	0.00036544073	0.00053072645	0.00063636544
